		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		1,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		1,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		1,		-1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		1,		-1	// Sellvalue -1 means it can not be selled
		MMG_carrier_backpack_dark_woodland,		*,  5500, 2000
		MMG_carrier_backpack_ucp,				*,  5500, 2000
		MMG_carrier_backpack_multicam_tropic,	*,  5500, 2000

		MMG_supplybag_black,   					*,  7500, 2000
		MMG_supplybag_green,   					*,  7500, 2000			
		MMG_supplybag_tan,   					*,  7500, 2000
		MMG_supplybag_alpine,   				*,  7500, 2000
		MMG_supplybag_erdl,   					*,  7500, 2000
		MMG_supplybag_multicamblack,   			*,  7500, 2000
		MMG_supplybag_multicam,   				*,  7500, 2000
		MMG_supplybag_dark_woodland,   			*,  7500, 2000
		MMG_supplybag_ucp,   					*,  7500, 2000
		MMG_supplybag_multicam_tropic,   		*,  7500, 2000

		MMG_assault_pack_black,   				*,  7500, 2000
		MMG_assault_pack_olive,   				*,  7500, 2000
		MMG_assault_pack_tan,   				*,  7500, 2000
		MMG_assault_pack_dark_woodland,   		*,  7500, 2000
		MMG_assault_pack_erdl,   				*,  7500, 2000
		MMG_assault_pack_multicam,   			*,  7500, 2000
		MMG_assault_pack_multicamblack,   		*,  7500, 2000
		MMG_assault_pack_alpine,   				*,  7500, 2000
		MMG_assault_pack_ucp,   				*,  7500, 2000
		MMG_assault_pack_mct,   				*,  7500, 2000

		MMG_camelback_tan,   					*,  4500, 2000
		MMG_camelback_black,   					*,  4500, 2000
		MMG_camelback_green,   					*,  4500, 2000
		MMG_camelback_multicamblack,   			*,  4500, 2000
		MMG_camelback_multicam,   				*,  4500, 2000
		MMG_camelback_erdl,   					*,  4500, 2000
		MMG_camelback_alpine,   				*,  4500, 2000
		MMG_camelback_dark_woodland,   			*,  4500, 2000
		MMG_camelback_ucp,   					*,  4500, 2000
		MMG_camelback_multicam_tropic,   		*,  4500, 2000

	<Category> MMG Belt
		MMG_falcon_b1_belt_olive,   			*,  700,   250
		MMG_falcon_b1_belt_black,   			*,  700,   250
		MMG_falcon_b1_belt_tan,   				*,  700,   250
		MMG_falcon_b1_belt_alpine,   			*,  700,   250
		MMG_falcon_b1_belt_erdl,   				*,  700,   250
		MMG_falcon_b1_belt_multicamblack,   	*,  700,   250
		MMG_falcon_b1_belt_multicam,   			*,  700,   250
		MMG_falcon_b1_belt_dark_woodland,   	*,  700,   250
		MMG_falcon_b1_belt_ucp,   				*,  700,   250
		MMG_falcon_b1_belt_multicam_tropic,   	*,  700,   250

	<Category> MMG Helmets
		MMG_tactical_helmet_black,   			*,   1800,  700
		MMG_tactical_helmet_green,   			*,   1800,  700
		MMG_tactical_helmet_tan,   				*,   1800,  700
		MMG_tactical_helmet_multicam,   		*,   1800,  700
		MMG_tactical_helmet_alpine,  			*,   1800,  700
		MMG_tactical_helmet_erdl,   			*,   1800,  700
		MMG_tactical_helmet_multicamblack,   	*,   1800,  700
		MMG_tactical_helmet_dark_woodland,   	*,   1800,  700
		MMG_tactical_helmet_ucp,   				*,   1800,  700
		MMG_tactical_helmet_multicam_tropic,   	*,   1800,  700
		MMG_tactical_helmet_police,   			*,   1800,  700

		MMG_striker_helmet_rusty,   			*,   5500,  1000
		MMG_striker_helmet_black,   			*,   5500,  1000
		MMG_striker_helmet_green,   			*,   5500,  1000
		MMG_striker_helmet_tan,   				*,   5500,  1000
		MMG_striker_helmet_alpine,   			*,   5500,  1000
		MMG_striker_helmet_erdl,   				*,   5500,  1000
		MMG_striker_helmet_multicamblack,   	*,   5500,  1000
		MMG_striker_helmet_multicam,   			*,   5500,  1000
		MMG_striker_helmet_dark_woodland,   	*,   5500,  1000
		MMG_striker_helmet_admin,   			*,   5500,  1000
		MMG_striker_helmet_ucp,					*,	 5500,  1000
		MMG_striker_helmet_multicam_tropic,   	*,   5500,  1000

	<Category> MMG Headphones
		MMG_headphones_black,  					*,   1800,  700
		MMG_headphones_green,   				*,   1800,  700
		MMG_headphones_tan,   					*,   1800,  700
		MMG_headphones_ucp,   					*,   1800,  700
		MMG_ballistic_earcover_black,  			*,   1800,  700
		MMG_ballistic_earcover_green,   		*,   1800,  700
		MMG_ballistic_earcover_tan,   			*,   1800,  700
		MMG_ballistic_earcover_alpine,   		*,   1800,  700
		MMG_ballistic_earcover_erdl,  			*,   1800,  700
		MMG_ballistic_earcover_multicamblack,   *,   1800,  700

	<Category>MMG Holster:
		MMG_Holster_black,   					*,   1800,  500
		MMG_Holster_green,   					*,   1800,  500
		MMG_Holster_tan,   						*,   1800,  500
		MMG_Holster_alpine,   					*,   1800,  500
		MMG_Holster_erdl,   					*,   1800,  500
		MMG_Holster_multicamblack,   			*,   1800,  500
		MMG_Holster_multicam,   				*,   1800,  500
		MMG_Holster_dark_woodland,   			*,   1800,  500
		MMG_Holster_ucp,   						*,   1800,  500
		MMG_Holster_multicam_tropic,   			*,   1800,  500

	<Category>MMG Sheath
		MMG_sheath_black,   					*,   500,  100
		MMG_sheath_olive,   					*,   500,  100
		MMG_sheath_tan,   						*,   500,  100
		MMG_sheath_mcb_digital,   				*,   500,  100
		MMG_sheath_alpine,   					*,   500,  100
		MMG_sheath_erdl,   						*,   500,  100
		MMG_sheath_multicamblack,   			*,   500,  100
		MMG_sheath_multicam,  					*,   500,  100
		MMG_sheath_dark_woodland,  				*,   500,  100
		MMG_sheath_ucp,   						*,   500,  100
							
	<Category>MMG Bottle
		MMG_bottle_black,   					*,   1000,  500
		MMG_bottle_olive,   					*,   1000,  500
		MMG_bottle_tan,   						*,   1000,  500
		MMG_bottle_alpine,   					*,   1000,  500
		MMG_bottle_erdl,   						*,   1000,  500
		MMG_bottle_multicamblack,   			*,   1000,  500
		MMG_sheath_multicam_tropic,   			*,   1000,  500
		MMG_bottle_multicam,   					*,   1000,  500
		MMG_bottle_dark_woodland,   			*,   1000,  500
		MMG_bottle_ucp,   						*,   1000,  500
		MMG_bottle_multicam_tropic,   			*,   1000,  500

	<Category>MMG Carbine
		MMG_carbine_red,   						*,   1000,  500
		MMG_carbine_green,  					*,   1000,  500
		MMG_carbine_orange,   					*,   1000,  500
		MMG_carbine_blue,   					*,   1000,  500
		MMG_carbine_black,  					*,   1000,  500
		MMG_carbine_grey,   					*,   1000,  500

	<Category>MMG Combatpants
		MMG_combatpants_olive, 	 				*,   1800,  1000
		MMG_combatpants_black,   				*,   1800,  1000
		MMG_combatpants_tan,   					*,   1800,  1000
		MMG_combatpants_alpine,   				*,   1800,  1000
		MMG_combatpants_erdl,   				*,   1800,  1000
		MMG_combatpants_multicamblack,   		*,   1800,  1000
		MMG_combatpants_multicam,   			*,   1800,  1000
		MMG_combatpants_erdl,   				*,   1800,  1000
		MMG_combatpants_dark_woodland,   		*,   1800,  1000
		MMG_combatpants_ucp,   					*,   1800,  1000
		MMG_combatpants_multicam_tropic,   		*,   1800,  1000
		MMG_combatpants_police,   				*,   1800,  1000
			
	<Category>MMG Tactical Pants
		mmg_tactical_pants_black,   			*,   2000,  1500
		mmg_tactical_pants_green,   			*,   2000,  1500
		mmg_tactical_pants_tan,   				*,   2000,  1500
		mmg_tactical_pants_ucp,   				*,   2000,  1500
		mmg_tactical_pants_multicam,   			*,   2000,  1500
		mmg_tactical_pants_erdl,   				*,   2000,  1500
		mmg_tactical_pants_atacs,   			*,   2000,  1500
		mmg_tactical_pants_multicamblack,   	*,   2000,  1500
		mmg_tactical_pants_multicam_tropic,   	*,   2000,  1500
		mmg_tactical_pants_alpine,  			*,   2000,  1500
		mmg_tactical_pants_dark_woodland,   	*,   2000,  1500

	<Category>MMG Combatshirt
		MMG_combatshirt_green,   				*,   2000,  1500
		MMG_combatshirt_black,   				*,   2000,  1500
		MMG_combatshirt_tan,   					*,   2000,  1500
		MMG_combatshirt_alpine,   				*,   2000,  1500
		MMG_combatshirt_erdl,   				*,   2000,  1500
		MMG_combatshirt_multicamblack,   		*,   2000,  1500
		MMG_combatshirt_multicam,   			*,   2000,  1500
		MMG_combatshirt_dark_woodland,   		*,   2000,  1500
		MMG_combatshirt_ucp,   					*,   2000,  1500
		MMG_combatshirt_multicam_tropic,   		*,   2000,  1500
		MMG_combatshirt_police,   				*,   2000,  1500
			
	<Category>MMG Operator Shirt
		MMG_operatorshirt_black,   				*,   2500,  2000
		MMG_operatorshirt_green,   				*,   2500,  2000
		MMG_operatorshirt_tan,   				*,   2500,  2000
		MMG_operatorshirt_erdl,   				*,   2500,  2000
		MMG_operatorshirt_multicamblack,   		*,   2500,  2000
		MMG_operatorshirt_multicam,   			*,   2500,  2000
		MMG_operatorshirt_dark_woodland,   		*,   2500,  2000
		MMG_operatorshirt_alpine,   			*,   2500,  2000
		MMG_operatorshirt_ucp,   				*,   2500,  2000
		MMG_operatorshirt_multicam_tropic,   	*,   2500,  2000
		
	<Category>MMG Tactical Shirt
		MMG_tactical_shirt_ucp,  				*,   2500,  2000
		MMG_tactical_shirt_black,   			*,   2500,  2000
		MMG_tactical_shirt_green,   			*,   2500,  2000
		MMG_tactical_shirt_tan,   				*,   2500,  2000
		MMG_tactical_shirt_multicamblack,   	*,   2500,  2000
		MMG_tactical_shirt_erdl,   				*,   2500,  2000
		MMG_tactical_shirt_dark_wl,   			*,   2500,  2000
		MMG_tactical_shirt_alpine,   			*,   2500,  2000
		MMG_tactical_shirt_multicam,   			*,   2500,  2000
		MMG_tactical_shirt_multicam_tropic,   	*,   2500,  2000
			
	<Category>MMG Tactical Gloves
		mmg_tactical_gloves_black,   			*,   500,  100
		mmg_tactical_gloves_green,   			*,   500,  100
		mmg_tactical_gloves_tan,   				*,   500,  100
		mmg_tactical_gloves_multicam,   		*,   500,  100
		mmg_tactical_gloves_multicamblack,   	*,   500,  100
		mmg_tactical_gloves_erdl,   			*,   500,  100
		mmg_tactical_gloves_alpine,   			*,   500,  100
		mmg_tactical_gloves_dark_woodland,   	*,   500,  100
		mmg_tactical_gloves_ucp,   				*,   500,  100
		mmg_tactical_gloves_multicam_tropic,   	*,   500,  100

	<Category>MMG Jungle Boots
		MMG_boots_black,   						*,   1500,  700
		MMG_boots_green,   						*,   1500,  700
		MMG_boots_tan,   						*,   1500,  700
		MMG_boots_multicam,   					*,   1500,  700
		MMG_boots_multicamblack,   				*,   1500,  700	
		MMG_boots_erdl,   						*,   1500,  700
		MMG_boots_alpine,   					*,   1500,  700
		MMG_boots_dark_woodland,   				*,   1500,  700
		MMG_boots_ucp,   						*,   1500,  700
		MMG_boots_multicam_tropic,   			*,   1500,  700
			
	<Category>MMG Facemask
		MMG_facemask_green,   					*,   1000,  500
		MMG_facemask_black,   					*,   1000,  500
		MMG_facemask_tan,   					*,   1000,  500
		MMG_facemask_alpine,  					*,   1000,  500
		MMG_facemask_erdl,   					*,   1000,  500
		MMG_facemask_multicamblack,   			*,   1000,  500
		MMG_facemask_multicam,   				*,   1000,  500
		MMG_facemask_dark_woodland,   			*,   1000,  500
		MMG_facemask_ucp,   					*,   1000,  500
		MMG_facemask_multicam_tropic,   		*,   1000,  500

	<Category>MMG Facemask
		MMG_balaclava_black,   					*,   100,  10
		MMG_balaclava_olive,   					*,   100,  10
		MMG_balaclava_tan,   					*,   100,  10
		MMG_balaclava_erdl,   					*,   100,  10
		MMG_balaclava_alpine,   				*,   100,  10	
		MMG_balaclava_multicamblack,   			*,   100,  10
		MMG_balaclava_multicam,   				*,   100,  10
		MMG_balaclava_dark_woodland,   			*,   100,  10
		MMG_balaclava_ucp,   					*,   100,  10
		MMG_balaclava_multicam_tropic,   		*,   100,  10
		
	<Category> MMG Heavy Armour
		MMG_MK_V_Armor_black,							*,		75000,		15000
		MMG_MK_V_Armor_green,							*,		75000,		15000
		MMG_MK_V_Armor_tan,								*,		75000,		15000
		MMG_MK_V_Armor_multicamblack,					*,		75000,		15000		
		MMG_MK_V_Armor_multicam,						*,		75000,		15000
		MMG_MK_V_Armor_alpine,							*,		75000,		15000
		MMG_MK_V_Armor_dark_woodland,					*,		75000,		15000
		MMG_MK_V_Armor_erdl,							*,		75000,		15000
		MMG_MK_V_Armor_ucp,								*,		75000,		15000
		MMG_MK_V_Armor_multicam_tropic,					*,		75000,		15000

		MMG_mk5_utility_pouch_black,					*,		1800,		1000
		MMG_mk5_utility_pouch_green,					*,		1800,		1000
		MMG_mk5_utility_pouch_tan,						*,		1800,		1000
		MMG_mk5_utility_pouch_multicamblack,			*,		1800,		1000
		MMG_mk5_utility_pouch_multicam,					*,		1800,		1000
		MMG_mk5_utility_pouch_erdl,						*,		1800,		1000
		MMG_mk5_utility_pouch_alpine,					*,		1800,		1000
		MMG_mk5_utility_pouch_dark_woodland,			*,		1800,		1000
		MMG_mk5_utility_pouch_ucp,						*,		1800,		1000
		MMG_mk5_utility_pouch_multicam_tropic,			*,		1800,		1000
		MMG_mk5_grenade_pouch_black,					*,		1800,		1000
		MMG_mk5_grenade_pouch_green,					*,		1800,		1000
		MMG_mk5_grenade_pouch_tan,						*,		1800,		1000
		MMG_mk5_grenade_pouch_multicamblack,			*,		1800,		1000
		MMG_mk5_grenade_pouch_multicam,					*,		1800,		1000
		MMG_mk5_grenade_pouch_alpine,					*,		1800,		1000
		MMG_mk5_grenade_pouch_erdl,						*,		1800,		1000
		MMG_mk5_grenade_pouch_dark_woodland,			*,		1800,		1000
		MMG_mk5_grenade_pouch_ucp,						*,		1800,		1000
		MMG_mk5_grenade_pouch_multicam_tropic,			*,		1800,		1000

	<Category> MMG Patches Rubber
		MMG_patch_rubber_dayz,							*,		10,			1
		MMG_patch_rubber_511,							*,		10,			1
		MMG_patch_rubber_driver,						*,		10,			1
		MMG_patch_rubber_medic,							*,		10,			1
		MMG_patch_rubber_pilot,							*,		10,			1
		MMG_patch_rubber_toxic,							*,		10,			1	
		mmg_tactical_pants_dark_woodland,				*,		10,			1
		MMG_patch_rubber_livonia_special,				*,		10,			1
		MMG_patch_rubber_namalsk_special,				*,		10,			1	
		MMG_patch_rubber_bushcraft,						*,		10,			1
		MMG_patch_rubber_bushcraft1,					*,		10,			1
		MMG_patch_rubber_police,						*,		10,			1
		MMG_patch_rubber_punisher,						*,		10,			1
		MMG_patch_rubber_rangers,						*,		10,			1
		MMG_patch_rubber_eod,							*,		10,			1
		MMG_patch_rubber_mmg,							*,		10,			1
		MMG_patch_rubber_sniper1,						*,		10,			1
		MMG_patch_rubber_australia,						*,		10,			1
		MMG_patch_rubber_austria,						*,		10,			1
		MMG_patch_rubber_austria1,						*,		10,			1
		MMG_patch_rubber_germany,						*,		10,			1
		MMG_patch_rubber_sweden,						*,		10,			1
		MMG_patch_rubber_norway,						*,		10,			1
		MMG_patch_rubber_ukraine,						*,		10,			1
		MMG_patch_rubber_bulgaria,						*,		10,			1
		MMG_patch_rubber_switzerland,					*,		10,			1
		MMG_patch_rubber_czech_republic,				*,		10,			1
		MMG_patch_rubber_denmark,						*,		10,			1
		MMG_patch_rubber_england,						*,		10,			1
		MMG_patch_rubber_finland,						*,		10,			1
		MMG_patch_rubber_france,						*,		10,			1
		MMG_patch_rubber_greece,						*,		10,			1
		MMG_patch_rubber_netherlands,					*,		10,			1
		MMG_patch_rubber_poland,						*,		10,			1
		MMG_patch_rubber_south_africa,					*,		10,			1
		MMG_patch_rubber_slovakia,						*,		10,			1
		MMG_patch_rubber_uk,		                    *,		10,			1
		MMG_patch_rubber_usa,		                    *,		10,			1
		MMG_patch_rubber_bra,		                    *,		10,			1
		MMG_patch_rubber_can,		                    *,		10,			1
		MMG_patch_rubber_chl,		                    *,		10,			1
		MMG_patch_rubber_cro,		                    *,		10,			1
		MMG_patch_rubber_irl,		                    *,		10,			1
		MMG_patch_rubber_nzl,		                    *,		10,			1
		MMG_patch_rubber_rou,		                    *,		10,			1
		MMG_patch_rubber_tur,		                    *,		10,			1
		MMG_patch_rubber_apos,		                    *,		10,			1
		MMG_patch_rubber_bpos,		                    *,		10,			1
		MMG_patch_rubber_abpos,		                    *,		10,			1
		MMG_patch_rubber_0pos,		                    *,		10,			1
		MMG_patch_rubber_aneg,		                    *,		10,			1
		MMG_patch_rubber_bneg,		                    *,		10,			1
		MMG_patch_rubber_abneg,		                    *,		10,			1
		MMG_patch_rubber_0neg,		                    *,		10,			1
			
	<Category> MMG Patches Fabric
		MMG_patch_fabric_dayz,							*,		10,			1
		MMG_patch_fabric_511,							*,		10,			1
		MMG_patch_fabric_driver,						*,		10,			1
		MMG_patch_fabric_medic,							*,		10,			1
		MMG_patch_fabric_pilot,							*,		10,			1
		MMG_patch_fabric_toxic,							*,		10,			1

	
<Trader> Vehicles Trader
	<Category> Vehicles
		OffroadHatchback,								V,		14000,		8000	// Use VNK instead of V as Quantity to not give a Vehicle Key when bought.
		OffroadHatchback_Blue,							V,		14000,		8000
		OffroadHatchback_White,							V,		14000,		8000
		Hatchback_02,									V,		16000,		9600
		Hatchback_02_Blue,								V,		16000,		9600
		Hatchback_02_Black,								V,		16000,		9600
		Sedan_02,										V,		18000,		10200
		Sedan_02_Red,									V,		18000,		10200
		Sedan_02_Grey,									V,		18000,		10200
		CivilianSedan,									V,		20000,		11000
		CivilianSedan_Wine,								V,		20000,		11000
		CivilianSedan_Black,							V,		20000,		11000
		Truck_01_Covered,								V,		50000,		30000
        Truck_01_Covered_Blue,							V,		50000,		30000
        Truck_01_Covered_Orange,						V,		50000,		30000

	<Category> Modded Vehicles
		Expansion_Landrover,							V,		15000,		10000
		uazSoba,										V,		44000,		22000
		CrSk_Hummer_H2_6x6_Pink,						V, 		44000,		30000
		CrSk_Hummer_H2_6x6_Space, 						V, 		44000, 		30000
		CrSk_Hummer_H2_6x6_Camo,						V, 		44000, 		30000
		CrSk_Hummer_H2_6x6_Black, 						V, 		44000, 		30000
		CrSk_Hummer_H2_6x6, 							V, 		44000, 		30000
		Hmwvee,											V,		20000,		10000
		Hmwvee_34,										V,		20000,		10000
		Hmwvee_Olive,									V,		20000,		10000
		Hmwvee_Automn,									V,		20000,		10000
		Hmwvee_Desert,									V,		20000,		10000
		sobgaz,											V,		56000,		28000
		sobgaz_Plat,									V,		56000,		28000
	
	<Category> Vehicle Parts
		HeadlightH7_Box,					*,		30,		15
		SparkPlug,							*,		60,		40
		EngineOil,							*,		70,		40
		CarBattery,							*,		100,	50
		ExpansionHelicopterBattery,			*,		-1,		1000
		TruckBattery,						*,		180,	100
		CarRadiator,						*,		200,	100
		TireRepairKit,						*,		220,	100
		HatchbackHood,						*,		300,	100
		HatchbackHood_Blue,					*,		300,	100
		HatchbackHood_White,				*,		300,	100
		HatchbackHood_GreenRust,			*,		300,	100
		HatchbackHood_BlueRust,				*,		300,	100
		HatchbackHood_WhiteRust,			*,		300,	100
		HatchbackTrunk,						*,		380,	130
		HatchbackTrunk_Blue,				*,		380,	130
		HatchbackTrunk_White,				*,		380,	130
		HatchbackTrunk_GreenRust,			*,		380,	130
		HatchbackTrunk_BlueRust,			*,		380,	130
		HatchbackTrunk_WhiteRust,			*,		380,	130
		HatchbackDoors_Driver,				*,		450,	160
		HatchbackDoors_Driver_Blue,			*,		450,	160
		HatchbackDoors_Driver_White,		*,		450,	160
		HatchbackDoors_Driver_GreenRust,	*,		450,	160
		HatchbackDoors_Driver_BlueRust,		*,		450,	160
		HatchbackDoors_Driver_WhiteRust,	*,		450,	160
		HatchbackDoors_CoDriver,			*,		450,	160
		HatchbackDoors_CoDriver_Blue,		*,		450,	160
		HatchbackDoors_CoDriver_White,		*,		450,	160
		HatchbackDoors_CoDriver_GreenRust,	*,		450,	160
		HatchbackDoors_CoDriver_BlueRust,	*,		450,	160
		HatchbackDoors_CoDriver_WhiteRust,	*,		450,	160
		HatchbackWheel,						*,		500,	100
		Hatchback_02_Hood,					*,		300,	100
		Hatchback_02_Hood_Black,			*,		300,	100
		Hatchback_02_Hood_Blue,				*,		300,	100
		Hatchback_02_Hood_RedRust,			*,		300,	100
		Hatchback_02_Hood_BlackRust,		*,		300,	100
		Hatchback_02_Hood_BlueRust,			*,		300,	100
		Hatchback_02_Trunk,					*,		380,	130
		Hatchback_02_Trunk_Black,			*,		380,	130
		Hatchback_02_Trunk_Blue,			*,		380,	130
		Hatchback_02_Trunk_RedRust,			*,		380,	130
		Hatchback_02_Trunk_BlackRust,		*,		380,	130
		Hatchback_02_Trunk_BlueRust,		*,		380,	130
		Hatchback_02_Door_1_1,				*,		450,	160
		Hatchback_02_Door_1_1_Black,		*,		450,	160
		Hatchback_02_Door_1_1_Blue,			*,		450,	160
		Hatchback_02_Door_1_1_RedRust,		*,		450,	160
		Hatchback_02_Door_1_1_BlackRust,	*,		450,	160
		Hatchback_02_Door_1_1_BlueRust,		*,		450,	160
		Hatchback_02_Door_1_2,				*,		450,	160
		Hatchback_02_Door_1_2_Black,		*,		450,	160
		Hatchback_02_Door_1_2_Blue,			*,		450,	160
		Hatchback_02_Door_1_2_RedRust,		*,		450,	160
		Hatchback_02_Door_1_2_BlackRust,	*,		450,	160
		Hatchback_02_Door_1_2_BlueRust,		*,		450,	160
		Hatchback_02_Door_2_1,				*,		450,	160
		Hatchback_02_Door_2_1_Black,		*,		450,	160
		Hatchback_02_Door_2_1_Blue,			*,		450,	160
		Hatchback_02_Door_2_1_RedRust,		*,		450,	160
		Hatchback_02_Door_2_1_BlackRust,	*,		450,	160
		Hatchback_02_Door_2_1_BlueRust,		*,		450,	160
		Hatchback_02_Door_2_2,				*,		450,	160
		Hatchback_02_Door_2_2_Black,		*,		450,	160
		Hatchback_02_Door_2_2_Blue,			*,		450,	160
		Hatchback_02_Door_2_2_RedRust,		*,		450,	160
		Hatchback_02_Door_2_2_BlackRust,	*,		450,	160
		Hatchback_02_Door_2_2_BlueRust,		*,		450,	160
		Hatchback_02_Wheel,					*,		500,	100
		Sedan_02_Hood,						*,		300,	100
		Sedan_02_Hood_Red,					*,		300,	100
		Sedan_02_Hood_Grey,					*,		300,	100
		Sedan_02_Hood_YellowRust,			*,		300,	100
		Sedan_02_Hood_RedRust,				*,		300,	100
		Sedan_02_Hood_GreyRust,				*,		300,	100
		Sedan_02_Trunk,						*,		450,	150
		Sedan_02_Trunk_Red,					*,		450,	150
		Sedan_02_Trunk_Grey,				*,		450,	150
		Sedan_02_Trunk_YellowRust,			*,		450,	150
		Sedan_02_Trunk_RedRust,				*,		450,	150
		Sedan_02_Trunk_GreyRust,			*,		450,	150
		Sedan_02_Door_1_1,					*,		450,	160
		Sedan_02_Door_1_1_Red,				*,		450,	160
		Sedan_02_Door_1_1_Grey,				*,		450,	160
		Sedan_02_Door_1_1_YellowRust,		*,		450,	160
		Sedan_02_Door_1_1_RedRust,			*,		450,	160
		Sedan_02_Door_1_1_GreyRust,			*,		450,	160
		Sedan_02_Door_1_2,					*,		450,	160
		Sedan_02_Door_1_2_Red,				*,		450,	160
		Sedan_02_Door_1_2_Grey,				*,		450,	160
		Sedan_02_Door_1_2_YellowRust,		*,		450,	160
		Sedan_02_Door_1_2_RedRust,			*,		450,	160
		Sedan_02_Door_1_2_GreyRust,			*,		450,	160
		Sedan_02_Door_2_1,					*,		450,	160
		Sedan_02_Door_2_1_Red,				*,		450,	160
		Sedan_02_Door_2_1_Grey,				*,		450,	160
		Sedan_02_Door_2_1_YellowRust,		*,		450,	160
		Sedan_02_Door_2_1_RedRust,			*,		450,	160
		Sedan_02_Door_2_1_GreyRust,			*,		450,	160
		Sedan_02_Door_2_2,					*,		450,	160  
		Sedan_02_Door_2_2_Red,				*,		450,	160  
		Sedan_02_Door_2_2_Grey,				*,		450,	160  
		Sedan_02_Door_2_2_YellowRust,		*,		450,	160  
		Sedan_02_Door_2_2_RedRust,			*,		450,	160  
		Sedan_02_Door_2_2_GreyRust,			*,		450,	160  
		Sedan_02_Wheel,						*,		500,	100
		CivSedanHood,						*,		400,	140
		CivSedanHood_Wine,					*,		400,	140
		CivSedanHood_Black,					*,		400,	140
		CivSedanHood_WhiteRust,				*,		400,	140
		CivSedanHood_WineRust,				*,		400,	140
		CivSedanHood_BlackRust,				*,		400,	140
		CivSedanTrunk,						*,		450,	150
		CivSedanTrunk_Wine,					*,		450,	150
		CivSedanTrunk_Black,				*,		450,	150
		CivSedanTrunk_WhiteRust,			*,		450,	150
		CivSedanTrunk_WineRust,				*,		450,	150
		CivSedanTrunk_BlackRust,			*,		450,	150
		CivSedanDoors_Driver,				*,		500,	180
		CivSedanDoors_Driver_Wine,			*,		500,	180
		CivSedanDoors_Driver_Black,			*,		500,	180
		CivSedanDoors_Driver_WhiteRust,		*,		500,	180
		CivSedanDoors_Driver_WineRust,		*,		500,	180
		CivSedanDoors_Driver_BlackRust,		*,		500,	180
		CivSedanDoors_CoDriver,				*,		500,	180
		CivSedanDoors_CoDriver_Wine,		*,		500,	180
		CivSedanDoors_CoDriver_Black,		*,		500,	180
		CivSedanDoors_CoDriver_WhiteRust,	*,		500,	180
		CivSedanDoors_CoDriver_WineRust,	*,		500,	180
		CivSedanDoors_CoDriver_BlackRust,	*,		500,	180
		CivSedanDoors_BackLeft,				*,		500,	180
		CivSedanDoors_BackLeft_Wine,		*,		500,	180
		CivSedanDoors_BackLeft_Black,		*,		500,	180
		CivSedanDoors_BackLeft_WhiteRust,	*,		500,	180
		CivSedanDoors_BackLeft_WineRust,	*,		500,	180
		CivSedanDoors_BackLeft_BlackRust,	*,		500,	180
		CivSedanDoors_BackRight,			*,		500,	180
		CivSedanDoors_BackRight_Wine,		*,		500,	180
		CivSedanDoors_BackRight_Black,		*,		500,	180
		CivSedanDoors_BackRight_WhiteRust,	*,		500,	180
		CivSedanDoors_BackRight_WineRust,	*,		500,	180
		CivSedanDoors_BackRight_BlackRust,	*,		500,	180
		CivSedanWheel,						*,		600,	120
		Truck_01_Hood,						*,		400,	140
		Truck_01_Hood_Blue,					*,		400,	140
        Truck_01_Hood_Orange,				*,		400,	140
		Truck_01_Door_1_1,					*,		500,	180
        Truck_01_Door_1_1_Blue,				*,		500,	180
        Truck_01_Door_1_1_Orange,			*,		500,	180
        Truck_01_Door_2_1,					*,		500,	180
        Truck_01_Door_2_1_Blue,				*,		500,	180
        Truck_01_Door_2_1_Orange,			*,		500,	180
        Truck_01_Wheel,						*,		600,	120
        Truck_01_WheelDouble,				*,		1000,	200

	<Category> Modded Vehicle Parts
		H26x6_dver_1_1,						*,		1000,	500
		H26x6_dver_1_2,						*,		1000,	500
		H26x6_dver_2_1,						*,		1000,	500
		H26x6_dver_2_2,						*,		1000,	500
		H26x6_bagazhnik,					*,		1000,	500
		H26x6_kapot,						*,		1000,	500
		H26x6_koleso,						*,		1000,	500
		Expansion_Landrover_Driverdoor,		*,		1000,	500
